//SHOP
Shop:Shop						Boutique
Shop:Add an item				Ajoutez un article
Shop:Manage items				Gérer les articles
Shop:Delete items from shop		Supprimer des éléments de la boutique
Shop:Categories management		Gérer les catégories
Shop:Add						Créer
Shop:Create						Créer
Shop:Edit						Modifier
Shop:Delete						Supprimer
Shop:Categories					Catégories
Shop:Item's name				Nom de l'article
Shop:Item URL					URL de la page
Shop:Visible from date			Visible de la date
Shop:Expiration date			Expiration
Shop:and from time				et de l'heure
Shop:and time					et heure
Shop:Create Item				Créer l'article
Shop:Created on					Crée le
Shop:Visible from				Visible de
Shop:Expiration date			Expiration
Shop:and from time				et de l'heure
Shop:and time					et heure
Shop:Create Item				Créer un article
Shop:Item successfully added	Article ajoutez correctement
Shop:Problems while adding the item to the database		Il y a eu des problèmes lors de l'ajout de l'objet dans la base de données
Shop:Title						Titre
Shop:Subtitle					Sous-titre
Shop:Featured Image				Image de présentation
Shop:Choose featured image		Choisir l'image
Shop:Set featured image			Utiliser comme image de présentation
Shop:Preview					Avant-première
Shop:Description				Description
Shop:Categories					Catégories
Shop:Photogallery				Galerie de photos
Shop:Document gallery			Gelerie de documents
Shop:URL						URL
Shop:Item's URL					URL de l'article
Shop:Order						Ordre
Shop:Price						Prix
Shop:Discounted					Réduits
Shop:Weight						Poids
Shop:Qty						Qté
Shop:Quantity					Quantité
Shop:This item has				Cet article a
Shop:Item successfully saved	Article enregistré avec succès
Shop:On-line					En-ligne
Shop:DRAFT						PROJET
Shop:Turn off-line				Mettez hors ligne
Shop:Item successfully off-lined	Article mis hors ligne avec succès
Shop:Item successfully deleted	Article supprimé avec succès
Shop:Do you want to off-line this item?		Voulez-vous mettre hors ligne de cet article?
Shop:Do you want to COMPLETELY DELETE this item?	Voulez-vous SUPPRIMER complètement cet article?
Shop:Opened orders				Commandes ouvertes
Shop:Closed orders				Commandes fermées
Shop:Close order				Fermer ce commande
Shop:Cancel order				Annuler ce commande
Shop:Canceled orders			Commandes annulées
Shop:Are you sure?				Etes-vous sûr?
Shop:Details					Details
Shop:Close						Fermer
Shop:Cancel						Annuler
Shop:Mark as payed				Marquer comme payé
Shop:Mark as shipped			Marquer comme expédiés
Shop:Not yet shipped			Pas encore expédié
Shop:Shipped					Expedié
Shop:Payment details			Détails du paiement
Shop:Shipment details			Détails du expédition
Shop:Shipment data				Données d'expédition
Shop:Order #					Ordre #
Shop:Order number				Numero d'ordre
Shop:Transactions				Transactions
Shop:No payments received yet	Pas de paiements reçus encore
Shop:Report a payment			Signaler un paiement
Shop:Report						Signaler
Shop:Payment method				Mode de paiement
Shop:Date						Date
Shop:Customer					Client
Shop:Payment					Paiement
Shop:Delivery					Expédition
Shop:Amount						Total
Shop:Successfully saved			Enregistrée avec succès
Shop:Sorry, error while saving	Désolé, erreur de enregistrement
Shop:Shipment					Expédition
Shop:Tracking number			Numéro de suivi
Shop:Tracking URL				URL de suivi
Shop:Deliverer					Rransporteur
Shop:Shipped on					Expédié le
Shop:Report shipment			Signaler l'expédition
Shop:Personal data				Données personels
Shop:Name						Nom
Shop:E-mail						E-mail
Shop:This order was moved into CLOSED orders list	Cette commande a été déplacé dans la liste des commandes FERMÉ
Shop:This order was moved into CANCELED orders list	Cette commande a été dans la liste des commandes ANNULLÉES
Shop:Order details				Détails de la commande
Shop:Total amount				Montant total
Shop:Invoice data				Données de facturation
Shop:Forced closure				Fermeture forcée
Shop:Sheet						Onglet
Shop:Variations					Variantes
Shop:Add variation				Ajouter une variante
Shop:Choose the item from which to import	Sélectionnez l'article à partir de laquelle importer
Shop:Import variations			Importer des variations
Shop:Import from another item	Importer depuis un autre article
Shop:Import variations from another item	Importer variantes depuis un autre article
Shop:Add a new variation		Ajouter une nouvelle variation
Shop:Add a new collection		Ajouter une nouvelle collection
Shop:Collection					Collection
Shop:New collection's name		Nom de la nouvelle collection
Shop:Variation name				Nom de la variation
Shop:Copy variation from		Copier la variation depuis
Shop:Create variation			Créer une variation
Shop:Successfully updated		Enregistrée avec succès
Shop:You can add, subtract or reset the price using this formulas	Vous pouvez ajouter, soustraire, ou réinitialiser le prix en utilisant des formules de ce type
Shop:Leave empty to maintain the same price of the item	Laissez vide pour garder le même prix de l'article
Shop:Ops, some errors occurred while saving. Please retry.	Ops. Il y avait un problème lors de l'enregistrement. S'il vous plaît réessayez.
Shop:There are no variations for this item	Il n'existe pas des variantes à cet article
Shop:Do you really want to delete this variation?	Voulez-vous vraiment supprimer cette variante?
Shop:Manufacturers				Producteurs
Shop:Manufacturer				Producteur
Shop:Create a new manufacturer	Créer un nouveau producteur
Shop:Delete a manufacturer		Supprimer un producteur
Shop:Edit a manufacturer		Modifier les producteurs
Shop:Create a copy				Créer une copie
Shop:Visit						Visiter
Shop:Add to menu				Ajouter au menu
Shop:Manufacturer's name		Nom du producteur
Shop:Page URL					URL de la page
Shop:Create manufacturer		Créer le producteur
Shop:Are you sure do you want to remove this manufacturer? This operation IS NOT REVERSIBLE.	Etes-vous sûr de vouloir supprimer ce producteur? Ce n'est PAS réversible.
Shop:recently added				derniers insertions
Shop:You are deleting this order					Vous êtes en train de supprimer cette commande
Shop:No recovery will be possible once deleted		Aucune reprise sera possible une fois supprimé
Shop:Do you really want to proceed?					Voulez-vous vraiment continuer?
Shop:Delete order									Supprimer la commande
Shop:This order was definitely DELETED. No recovery is possible.		Cette commande a été effacées définitivement. Pas de reprise sera possible
