//LANGUAGES
Languages:Management			Management
Languages:Copy content			Copier le contenu
Languages:Copy pages			Copier pages
Languages:Source language		Langue source
Languages:Destination language	Langue de destination
Languages:What do you want to copy?	Qu'est-ce que vous voulez copier?
Languages:What pages do you want to copy?	Quelles pages ne vous voulez copier?
Languages:Overwrite existing ones		Ecraser existants
Languages:Map of translations		Carte des traductions

//LOGS
Languages:Source and destination languages can't be the same		Langues source et de destination ne peut pas être la même
Languages:Language successfully copied								Langue copié avec succès
Languages:Pages successfully copied									Pages copié avec succès
