// NEWSLETTER

Newsletter:Newsletter					Newsletter
Newsletter:Write an e-mail				Scrivi una e-mail
Newsletter:Subscribe to a list			Iscrizione a una lista
Newsletter:Lists management				Gestione delle liste
Newsletter:Archive						Archivio
Newsletter:Lists						Liste
Newsletter:Subscribers					Iscritti
Newsletter:Description					Descrizione
Newsletter:Actions						Azioni
Newsletter:Subject						Oggetto
Newsletter:Message						Messaggio
Newsletter:Template						Modello grafico
Newsletter:Add a new subscriber			Aggiungi un iscritto
Newsletter:Single subscription			Iscrizione singola
Newsletter:Mass subscription			Iscrizione di massa
Newsletter:Next step					Avanti
Newsletter:Never						Mai
Newsletter:E-mail address				Indirizzo e-mail
Newsletter:Full name					Nome e cognome
Newsletter:Expiration date				Data di scadenza
Newsletter:Date of subscription			Data di iscrizione
Newsletter:Subscribed lists				Liste sottoscritte
Newsletter:Lists to subscribe to		Liste da sottoscrivere
Newsletter:Send the welcome message		Invia il messaggio di benvenuto
Newsletter:Error while creating member	Errore durante la registrazione in anagrafica
Newsletter:Error while subscribing		Errore durante la sottoscrizione
Newsletter:Error while deleting list	Errore durante la cancellazione della lista
Newsletter:Successfully saved			Salvato con successo
Newsletter:Successfully removed			Rimossa con successo
Newsletter:Show subscribers				Guarda gli iscritti
Newsletter:Edit							Modifica
Newsletter:Edit subscriptions			Modifica iscrizioni
Newsletter:Delete						Elimina
Newsletter:Add a new list				Crea una nuova lista
Newsletter:List name					Nome della lista
Newsletter:Create list					Crea lista
Newsletter:Write addresses, one for line, in one of the stadard formats Name <email@addres> or only email@addres	Scrivi gli indirizzi, uno per linea, in uno dei formati standard <em>Nome &lt;indirizzo@email&gt;</em> oppure solo <em>indirizzo@email</em>
Newsletter:Successfully created			Lista creata con successo
Newsletter:Error while creating list	Errore durante la creazione della lista
Newsletter:User not found				Utente non trovato
Newsletter:Error while saving			Errore durante il salvataggio
Newsletter:User successfully removed	Utente rimosso con successo
Newsletter:Are you sure you want to delete this user?	Sei sicuro di voler rimuovere questo iscritto?
Newsletter:You are going to delete the following list	Stai per cancellare la seguente lista
Newsletter:What do you want to do of its subscribers?	Cosa vuoi farne degli iscritti?
Newsletter:Remove all subscribers		Rimuovi tutti gli iscritti
Newsletter:Move here					Spostali qui
Newsletter:Processing queue				Sto spedendo le e-mail
Newsletter:Process queue				Invia le e-mail in coda
Newsletter:E-mail queue					Coda di invio delle e-mail
Newsletter:There are %d e-mails in queue	Ci sono %d e-mail in attesa di essere spedite
Newsletter:Submission date				Data di invio
Newsletter:Recipients number			Numero di destinatari
Newsletter:Edit as new					Usa in una nuova e-mail
Newsletter:Preview						Anteprima
Newsletter:Send newsletter				Invia newsletter
Newsletter:Which lists to send?			A quali liste vuoi inviare?
Newsletter:Next page					Pagina successiva
Newsletter:Previous page				Pagina precedente
Newsletter:On queue						In attesa
Newsletter:Processing					Invio in corso
Newsletter:Already sent					Già inviata a tutti
Newsletter:Sent							Spedite
Newsletter:Queued						Non ancora spedite
Newsletter:Total						Totale
Newsletter:Do you really want to delete this entry and all his e-mails still in queue?		Vuoi davvero cancellare questo salvataggio dall'archivio e le relative e-mail non ancora inviate?
Newsletter:Entry successfully deleted	Salvataggio rimosso con successo
Newsletter:Error while deleting from database		Errore durante la rimozione dal database
Newsletter:Done! All mail was successfully sent		Fatto! Tutte le e-mail sono state spedite con successo
Newsletter:Yes, it's slow! Be patient, this slowliness is needed to save your e-mails from anti-spam systems	Sì, va lento! Porta pazienza, questa lentezza serve a salvare le tue e-mail dai sistemi anti-spam
Newsletter:Do you really want to close this window? If you close it, you will interrupt the queue processing (yes, it could be restarted later)		Vuoi davvero chiudere questa finestra? Chiudendola interromperai l'invio delle e-mail (sì, puoi riprenderlo dopo)
Newsletter:E-mail added to queue		E-mail inserita in coda di invio
Newsletter:Successfully updated			Modificata con successo
Newsletter:Error while updating list	Errore durante il salvataggio
