Abkhazian  	AB	ab_AB
Afar 	AA	aa_AA
Afrikaans 	AF	af_AF
Albanian 	SQ	sq_SQ
Amharic 	AM	am_AM
Arabic 	AR	ar_AR
Armenian 	HY	hy_HY
Assamese 	AS	as_AS
Aymara 	AY	ay_AY
Azerbaijani 	AZ	az_AZ
Bashkir 	BA	ba_BA
Basque 	EU	eu_EU
Bengali, Bangla 	BN	bn_BD
Bhutani 	DZ	dz_DZ
Bihari 	BH	bh_BH
Bislama 	BI	bi_BI
Breton 	BR	br_BR
Bulgarian 	BG	bg_BG
Burmese 	MY	my_MY
Byelorussian 	BE	be_BE
Cambodian 	KM	km_KM
Catalan 	CA	ca_CA
Chinese (China) 	ZH	zh_CN
Chinese (Hong Kong) 	HK	zh_HK
Chinese (Taiwan) 	TW	zh_TW
Corsican 	CO	co_CO
Croatian 	HR	hr_HR
Czech 	CZ	cz_CZ
Danish 	DA	da_DK
Dutch 	NL	nl_NL
English (UK)	EN	en_EN
English (USA)	US	en_US
Esperanto 	EO	eo_EO
Estonian 	ET	et_ET
Faeroese 	FO	fo_FO
Fiji 	FJ	fj_FJ
Finnish 	FI	fi_FI
French 	FR	fr_FR
Frisian 	FY	fy_FY
Gaelic (Scots Gaelic) 	GD	gd_GD
Galician 	GL	gl_ES
Georgian 	KA	ka_KA
German 	DE	de_DE
Greek 	EL	el_EL
Greenlandic 	KL	kl_KL
Guarani 	GN	gn_GN
Gujarati 	GU	gu_GU
Hausa 	HA	ha_HA
Hebrew 	IL	he_IL
Hindi 	HI	hi_HI
Hungarian 	HU	hu_HU
Icelandic 	IS	is_IS
Indonesian 	IN	in_IN
Interlingua 	IA	ia_IA
Interlingue 	IE	ie_IE
Inupiak 	IK	ik_IK
Irish 	GA	ga_GA
Italian 	IT	it_IT
Japanese 	JA	ja_JA
Javanese 	JW	jw_JW
Kannada 	KN	kn_KN
Kashmiri 	KS	ks_KS
Kazakh 	KK	kk_KK
Kinyarwanda 	RW	rw_RW
Kirghiz 	KY	ky_KY
Kirundi 	RN	rn_RN
Korean 	KO	ko_KR
Kurdish 	KU	ku_KU
Laothian 	LO	lo_LO
Latin 	LA	la_LA
Latvian, Lettish 	LV	lv_LV
Lingala 	LN	ln_LN
Lithuanian 	LT	lt_LT
Macedonian 	MK	mk_MK
Malagasy 	MG	mg_MG
Malay 	MS	ms_MY
Malayalam 	ML	ml_ML
Maltese 	MT	mt_MT
Maori 	MI	mi_MI
Marathi 	MR	mr_MR
Moldavian 	MO	mo_MO
Mongolian 	MN	mn_MN
Nauru 	NA	na_NA
Nepali 	NE	ne_NE
Norwegian 	NO	nb_NO
Occitan 	OC	oc_OC
Oriya 	OR	or_OR
Oromo, Afan 	OM	om_OM
Pashto, Pushto 	PS	ps_PS
Persian 	FA	fa_FA
Polish 	PL	pl_PL
Portuguese 	PT	pt_PT
Portuguese (Brazil)	BR	pt_BR
Punjabi 	PA	pa_PA
Quechua 	QU	qu_QU
Rhaeto-Romance 	RM	rm_RM
Romanian 	RO	ro_RO
Russian 	RU	ru_RU
Samoan 	SM	sm_SM
Sangro 	SG	sg_SG
Sanskrit 	SA	sa_SA
Serbian 	SR	sr_RS
Serbo-Croatian 	SH	sh_SH
Sesotho 	ST	st_ST
Setswana 	TN	tn_TN
Shona 	SN	sn_SN
Sindhi 	SD	sd_SD
Singhalese 	SI	si_LK
Siswati 	SS	ss_SS
Slovak 	SK	sk_SK
Slovenian 	SL	sl_SI
Somali 	SO	so_SO
Spanish 	ES	es_ES
Sudanese 	SU	su_SU
Swahili 	SW	sw_SW
Swedish 	SV	sv_SE
Tagalog 	TL	tl_TL
Tajik 	TG	tg_TG
Tamil 	TA	ta_TA
Tatar 	TT	tt_TT
Tegulu 	TE	te_TE
Thai 	TH	th_TH
Tibetan 	BO	bo_BO
Tigrinya 	TI	ti_TI
Tonga 	TO	to_TO
Tsonga 	TS	ts_TS
Turkish 	TR	tr_TR
Turkmen 	TK	tk_TK
Twi 	TW	tw_TW
Ukrainian 	UK	uk_UK
Urdu 	UR	ur_UR
Uzbek 	UZ	uz_UZ
Vietnamese 	VI	vi_VI
Volapuk 	VO	vo_VO
Welsh 	CY	cy_CY
Wolof 	WO	wo_WO
Xhosa 	XH	xh_XH
Yiddish 	JI	ji_JI
Yoruba 	YO	yo_YO
Zulu 	ZU	zu_ZU
